Extractor,PMID,Title,Year,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,
amdrucker (Aaron Drucker),3514075,Treatment of basal-cell carcinoma: comparison of radiotherapy and cryotherapy.,1986,"Hall VL., Leppard BJ., McGill J., Kesseler ME., White JE., Goodwin P.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),2383027,The effect of an intralesional sustained-release formulation of interferon alfa-2b on basal cell carcinomas.,1990,"Edwards L., Tucker SB., Perednia D., Smiles KA., Taylor EL., Tanner DJ., Peets E.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),8977678,Comparison of photodynamic therapy with cryotherapy in the treatment of Bowen&#x27;s disease.,1996,"Morton CA., Whitehurst C., Moseley H., McColl JH., Moore JV., Mackie RM.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vlangber (Valerie Langberg),10570388,Therapeutic response of basal cell carcinoma to the immune response modifier imiquimod 5% cream.,1999,"Beutner KR., Geisse JK., Helman D., Fox TL., Ginkel A., Owens ML.",,,,,,,,,,,,,,,,,,,,,,,,,,,
bryantadmin (Bryant Smith),10940063,Cosmetic results of cryosurgery versus surgical excision for primary uncomplicated basal cell carcinomas of the head and neck.,2000,"Thissen MR., Nieman FH., Ideler AH., Berretty PJ., Neumann HA.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vlangber (Valerie Langberg),11298545,Photodynamic therapy vs. cryosurgery of basal cell carcinomas: results of a phase III clinical trial.,2001,"Wang I., Bendsoe N., Klinteberg CA., Enejder AM., Andersson-Engels S., Svanberg S., Svanberg K.",,,,,,,,,,,,,,,,,,,,,,,,,,,
amdrucker (Aaron Drucker),11312429,Imiquimod 5% cream in the treatment of superficial basal cell carcinoma: results of a multicenter 6-week dose-response trial.,2001,"Marks R., Gebauer K., Shumack S., Amies M., Bryden J., Fox TL., Owens ML.",,,,,,,,,,,,,,,,,,,,,,,,,,,
amdrucker (Aaron Drucker),17451581,Surgical excision versus curettage plus cryosurgery in the treatment of basal cell carcinoma.,2007,"Kuijpers DI., Thissen MR., Berretty PJ., Ideler FH., Nelemans PJ., Neumann MH.",,,,,,,,,,,,,,,,,,,,,,,,,,,
amdrucker (Aaron Drucker),,"Efficacy of excisional surgery, curettage and combined
curettage and electrodessication in treatment of basal cell
carcinoma",2012,Salmanpoor R. et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),24102369,A randomized trial comparing methyl aminolaevulinate photodynamic therapy with and without Er:YAG ablative fractional laser treatment in Asian patients with lower extremity Bowen disease: results from a 12-month follow-up.,2014,"Ko DY., Kim KH., Song KH.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),19010733,Surgical excision versus Mohs; micrographic surgery for primary and recurrent basal-cell carcinoma of the face: a prospective randomised controlled trial with 5-years; follow-up.,2008,"Mosterd K., Krekels GA., Nieman FH., Ostertag JU., Essers BA., Dirksen CD., Steijlen PM., Vermeulen A., Neumann H., Kelleners-Smeets NW.",,,,,,,,,,,,,,,,,,,,,,,,,,,
amdrucker (Aaron Drucker),12653747,Randomized comparison of photodynamic therapy with topical 5-fluorouracil in Bowen&#x27;s disease.,2003,"Salim A., Leman JA., McColl JH., Chapman R., Morton CA.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),23683751,"Photodynamic therapy versus topical imiquimod versus topical fluorouracil for treatment of superficial basal-cell carcinoma: a single blind, non-inferiority, randomised controlled trial.",2013,"Arits AH., Mosterd K., Essers BA., Spoorenberg E., Sommer A., De Rooij MJ., van Pelt HP., Quaedvlieg PJ., Krekels GA., van Neer PA., Rijzewijk JJ., van Geest AJ., Steijlen PM., Nelemans PJ., Kelleners-Smeets NW.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),12452875,Imiquimod 5% cream for the treatment of superficial and nodular basal cell carcinoma: randomized studies comparing low-frequency dosing with and without occlusion.,2002,"Sterry W., Ruzicka T., Herrera E., Takwale A., Bichel J., Andres K., Ding L., Thissen MR.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),14732655,Photodynamic therapy using topical methyl aminolevulinate vs surgery for nodular basal cell carcinoma: results of a multicenter randomized prospective trial.,2004,"Rhodes LE., de Rie M., Enström Y., Groves R., Morken T., Goulden V., Wong GA., Grob JJ., Varma S., Wolf P.",,,,,,,,,,,,,,,,,,,,,,,,,,,
bryantadmin (Bryant Smith),12224977-12 week,Efficacy of topical 5% imiquimod cream for the treatment of nodular basal cell carcinoma: comparison of dosing regimens -  12 Week Study,2002,"Shumack S., Robinson J., Kossard S., Golitz L., Greenway H., Schroeter A., Andres K., Amies M., Owens M.",,,,,,,,,,,,,,,,,,,,,,,,,,,
amdrucker (Aaron Drucker),7999616,Curettage of small basal cell papillomas with the disposable ring curette is superior to conventional treatment.,1994,"Long CC., Motley RJ., Holt PJ.",,,,,,,,,,,,,,,,,,,,,,,,,,,
bryantadmin (Bryant Smith),12224977 - 6 week,Efficacy of topical 5% imiquimod cream for the treatment of nodular basal cell carcinoma: comparison of dosing regimens - 6 Week Study,2002,"Shumack S., Robinson J., Kossard S., Golitz L., Greenway H., Schroeter A., Andres K., Amies M., Owens M.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),12196749,"Imiquimod 5% cream for the treatment of superficial basal cell carcinoma: a double-blind, randomized, vehicle-controlled study.",2002,"Geisse JK., Rich P., Pandya A., Gross K., Andres K., Ginkel A., Owens M.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),15097956,"Imiquimod 5% cream for the treatment of superficial basal cell carcinoma: results from two phase III, randomized, vehicle-controlled studies.",2004,"Geisse J., Caro I., Lindholm J., Golitz L., Stampone P., Owens M.",,,,,,,,,,,,,,,,,,,,,,,,,,,
famousta (farah moustafa),15606733,5% imiquimod cream and reflectance-mode confocal microscopy as adjunct modalities to Mohs micrographic surgery for treatment of basal cell carcinoma.,2004,"Torres A., Niemeyer A., Berkes B., Marra D., Schanbacher C., González S., Owens M., Morgan B.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),16785375,Comparison of topical methyl aminolevulinate photodynamic therapy with cryotherapy or Fluorouracil for treatment of squamous cell carcinoma in situ: Results of a multicenter randomized trial.,2006,"Morton C., Horn M., Leman J., Tack B., Bedane C., Tjioe M., Ibbotson S., Khemis A., Wolf P.",,,,,,,,,,,,,,,,,,,,,,,,,,,
famousta (farah moustafa),25899562,Photodynamic therapy in combination with CO2 laser for the treatment of Bowen&#x27;s disease.,2015,"Cai H., Wang YX., Zheng JC., Sun P., Yang ZY., Li YL., Liu XY., Li Q., Liu W.",,,,,,,,,,,,,,,,,,,,,,,,,,,
famousta (farah moustafa),25047438,Comparison of aminolevulinic acid (ALA)-thermogel-PDT with methyl-ALA-thermogel-PDT in basal cell carcinoma.,2007,"Schleier P., Berndt A., Kolossa S., Zenk W., Hyckel P., Schultze-Mosgau S.",,,,,,,,,,,,,,,,,,,,,,,,,,,
bryantadmin (Bryant Smith),26353121,Concurrent Radiotherapy With Cetuximab or Platinum-based Chemotherapy for Locally Advanced Cutaneous Squamous Cell Carcinoma of the Head and Neck.,2015,"Lu SM., Lien WW.",,,,,,,,,,,,,,,,,,,,,,,,,,,
famousta (farah moustafa),20546215,PEP005 (ingenol mebutate) gel for the topical treatment of superficial basal cell carcinoma: results of a randomized phase IIa trial.,2010,"Siller G., Rosen R., Freeman M., Welburn P., Katsamas J., Ogbourne SM.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vlangber (Valerie Langberg),23566745,Treatment of basal cell carcinoma with surgical excision and perilesional interferon-α.,2013,"Wettstein R., Erba P., Itin P., Schaefer DJ., Kalbermatten DF.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vlangber (Valerie Langberg),,Higher recurrence rates of head and neck nodular basal cell carcinoma treated with topical photodynamic therapy (MAL-PDT) compared to surgical excision: A randomized controlled study,2015,"Abbade, Luciana; Tatiana Gige; Viviany Amaral; Sabrina Aquino; Helio Miot",,,,,,,,,,,,,,,,,,,,,,,,,,,
famousta (farah moustafa),19018814,"Imiquimod 5% cream as adjunctive therapy for primary, solitary, nodular nasal basal cell carcinomas before Mohs micrographic surgery: a randomized, double blind, vehicle-controlled study.",2009,"Butler DF., Parekh PK., Lenis A.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),25981810,"Treatment with two different doses of sonidegib in patients with locally advanced or metastatic basal cell carcinoma (BOLT): a multicentre, randomised, double-blind phase 2 trial.",2015,"Migden MR., Guminski A., Gutzmer R., Dirix L., Lewis KD., Combemale P., Herd RM., Kudchadkar R., Trefzer U., Gogov S., Pallaud C., Yi T., Mone M., Kaatz M., Loquai C., Stratigos AJ., Schulze HJ., Plummer R., Chang AL., Cornélis F., Lear JT., Sellami D., Dummer R.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),,Effectiveness of a 595-nm pulsed dye laser for the treatment of basal cell carcinoma using 1 stacked-pulse session,2014,"Eimpunth S, Oganesyan G, Hamman MS, Lee R, Jiang SI, Kim SS,",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),22511036,Single treatment of non-melanoma skin cancers using a pulsed-dye laser with stacked pulses.,2012,"Tran HT., Lee RA., Oganesyan G., Jiang SB.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),27067393,"The effect of topical diclofenac 3% and calcitriol 3 μg/g on superficial basal cell carcinoma (sBCC) and nodular basal cell carcinoma (nBCC): A phase II, randomized controlled trial.",2016,"Brinkhuizen T., Frencken KJ., Nelemans PJ., Hoff ML., Kelleners-Smeets NW., Zur Hausen A., van der Horst MP., Rennspiess D., Winnepenninckx VJ., van Steensel MA., Mosterd K.",,,,,,,,,,,,,,,,,,,,,,,,,,,
agazula (Abhilash Gazula),15888150,Imiquimod 5% cream for the treatment of superficial basal cell carcinoma: results from a randomized vehicle-controlled phase III study in Europe.,2005,"Schulze HJ., Cribier B., Requena L., Reifenberger J., Ferrándiz C., Garcia Diez A., Tebbs V., McRae S.",,,,,,,,,,,,,,,,,,,,,,,,,,,
agazula (Abhilash Gazula),16393600,Pilot study of imiquimod 5% cream as adjunctive therapy to curettage and electrodesiccation for nodular basal cell carcinoma.,2006,Spencer JM.,,,,,,,,,,,,,,,,,,,,,,,,,,,
agazula (Abhilash Gazula),16713457,"Imiquimod 5% cream monotherapy for cutaneous squamous cell carcinoma in situ (Bowen&#x27;s disease): a randomized, double-blind, placebo-controlled trial.",2006,"Patel GK., Goodwin R., Chawla M., Laidler P., Price PE., Finlay AY., Motley RJ.",,,,,,,,,,,,,,,,,,,,,,,,,,,
agazula (Abhilash Gazula),17573890,A randomized study of minimal curettage followed by topical photodynamic therapy compared with surgical excision for low-risk nodular basal cell carcinoma.,2007,"Berroeta L., Clark C., Dawe RS., Ibbotson SH., Fleming CJ.",,,,,,,,,,,,,,,,,,,,,,,,,,,
agazula (Abhilash Gazula),18624836,"A clinical study comparing methyl aminolevulinate photodynamic therapy and surgery in small superficial basal cell carcinoma (8-20 mm), with a 12-month follow-up.",2008,"Szeimies RM., Ibbotson S., Murrell DF., Rubel D., Frambach Y., de Berker D., Dummer R., Kerrouche N., Villemagne H.",,,,,,,,,,,,,,,,,,,,,,,,,,,
famousta (farah moustafa),20064185,Photodynamic therapy with methyl aminolevulinate for primary nodular basal cell carcinoma: results of two randomized studies.,2009,"Foley P., Freeman M., Menter A., Siller G., El-Azhary RA., Gebauer K., Lowe NJ., Jarratt MT., Murrell DF., Rich P., Pariser DM., Oseroff AR., Barnetson R., Anderson C., Kossard S., Gibson LE., Tope WD.",,,,,,,,,,,,,,,,,,,,,,,,,,,
famousta (farah moustafa),26551044,"Er:YAG ablative fractional laser-primed photodynamic therapy with methyl aminolevulinate as an alternative treatment option for patients with thin nodular basal cell carcinoma: 12-month follow-up results of a randomized, prospective, comparative trial.",2016,"Choi SH., Kim KH., Song KH.",,,,,,,,,,,,,,,,,,,,,,,,,,,
agazula (Abhilash Gazula),16865869,Similar effectiveness of methyl aminolevulinate and 5-aminolevulinate in topical photodynamic therapy for nodular basal cell carcinoma.,2006,"Kuijpers DI., Thissen MR., Thissen CA., Neumann MH.",,,,,,,,,,,,,,,,,,,,,,,,,,,
bryantadmin (Bryant Smith),15377354,"Efficacy of imiquimod for the expression of Bcl-2, Ki67, p53 and basal cell carcinoma apoptosis.",2004,"Vidal D., Matías-Guiu X., Alomar A.",,,,,,,,,,,,,,,,,,,,,,,,,,,
amdrucker (Aaron Drucker),,Photodynamic therapy using topical methyl aminolaevulinate versus cryotherapy for treatment of primary superficial basal cell carcinoma: results of a five-year prospective randomized trial. Abstract P-80. British Association of Dermatologists 86th Annual Meeting,2006,Nasset-Seguin N et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),26157307,Photodynamic Therapy Followed by Mohs Micrographic Surgery Compared to Mohs Micrographic Surgery Alone for the Treatment of Basal Cell Carcinoma: Results of a Pilot Single-Blinded Randomised Controlled Trial.,2015,"Al-Niaimi F., Sheth N., Kurwa HA., Mallipeddi R.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),24903544,Fractional laser-mediated photodynamic therapy of high-risk basal cell carcinomas--a randomized clinical trial.,2015,"Haak CS., Togsverd-Bo K., Thaysen-Petersen D., Wulf HC., Paasch U., Anderson RR., Haedersdal M.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),8708151,"Comparison of the effects of intralesional interferon alfa-2a, 2b and the combination of 2a and 2b in the treatment of basal cell carcinoma.",1996,"Alpsoy E., Yilmaz E., Başaran E., Yazar S.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),24332516,"Surgical excision versus imiquimod 5% cream for nodular and superficial basal-cell carcinoma (SINS): a multicentre, non-inferiority, randomised controlled trial.",2014,"Bath-Hextall F., Ozolins M., Armstrong SJ., Colver GB., Perkins W., Miller PS., Williams HC.",,,,,,,,,,,,,,,,,,,,,,,,,,,
